user_id,product_id,rating
1034,1,4
1034,1,3
1034,1,4
1034,1,5
1034,1,5
1034,1,5
1034,1,5
1034,1,4
1034,1,1
1034,1,1
1034,1,1
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,2
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,4
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,3
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,4
180,1,4
180,1,4
180,1,5
180,1,4
180,1,4
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,3
180,1,4
180,1,4
180,1,4
180,1,4
180,1,4
180,1,4
180,1,5
180,1,5
180,1,5
180,1,4
180,1,5
180,1,4
180,1,4
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
180,1,5
1052,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
740,1,5
